Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210250","Number of children under 5 years of age who are stunted (modeled estimates) (million)","2018","2018","million No","2.3","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2018","2018","%","4.2","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210410","Number of children under 5 years of age who are overweight (modeled estimates) (million)","2018","2018","million No","0.3","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","15.3","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210420","Number of obese adults (18 years and older) (million)","2018","2018","million No","2.7","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years) (percent)","2018","2018","%","41.8","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210430","Number of women of reproductive age (15-49 years) affected by anemia (million)","2018","2018","million No","3.6","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21044","Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent)","2018","2018","%","57.5","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21049","Prevalence of low birthweight (percent)","2018","2018","%","","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210490","Number of newborns with low birthweight (million)","2018","2018","million No","","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1652","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/cap/d","2125","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6173","Value","21058","Coefficient of variation of habitual caloric consumption distribution (real number)","2018","2018","No","0.33","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21059","Incidence of caloric losses at retail distribution level (percent)","2018","2018","%","2.59","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21061","Average fat supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","41.6","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","136","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","220001","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day)","2018","2018","kcal/cap/d","3352","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/cap/d","3368","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20172019","2017-2019","%","34","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","116.9","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","64.1","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","14837.8","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","4.2","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.1","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","10","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","8.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","11.7","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","9.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","7.3","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","10.9","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","11","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","9.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","12.5","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","37.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","34","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","40.2","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","33.6","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","30.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","36.8","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","40.7","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","37.7","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","43.6","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","0.3","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","0.2","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","0.3","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","<0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","1.1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","1","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","1.2","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.4","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.5","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61321","Confidence interval: Lower bound","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.5","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","61322","Confidence interval: Upper bound","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.5","A","Official figure"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20172019","2017-2019","%","46.1","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20172019","2017-2019","%","13","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20172019","2017-2019","%","18","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.37","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2018","2018","kcal/cap/d","27","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (percent)","2018","2018","%","71","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","94","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21046","Percentage of population using safely managed sanitation services (percent)","2018","2018","%","48","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2018","2018","%","99","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2018","2018","%","","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210260","Number of children under 5 years affected by wasting (million)","2018","2018","million No","","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","11.1","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210250","Number of children under 5 years of age who are stunted (modeled estimates) (million)","2018","2018","million No","<0.1","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2018","2018","%","15","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210410","Number of children under 5 years of age who are overweight (modeled estimates) (million)","2018","2018","million No","<0.1","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","20.8","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210420","Number of obese adults (18 years and older) (million)","2018","2018","million No","0.5","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years) (percent)","2018","2018","%","24.5","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210430","Number of women of reproductive age (15-49 years) affected by anemia (million)","2018","2018","million No","0.2","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21044","Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent)","2018","2018","%","","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21049","Prevalence of low birthweight (percent)","2018","2018","%","6","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210490","Number of newborns with low birthweight (million)","2018","2018","million No","<0.1","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1915","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/cap/d","2490","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6173","Value","21058","Coefficient of variation of habitual caloric consumption distribution (real number)","2018","2018","No","0.3","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21059","Incidence of caloric losses at retail distribution level (percent)","2018","2018","%","2.71","E","Estimated value"
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21061","Average fat supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","117.1","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","148","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","220001","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day)","2018","2018","kcal/cap/d","3392","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/cap/d","3422","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20172019","2017-2019","%","49","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","94.3","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","28.1","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6124","Value","21016","Rail lines density (total route in km per 100 square km of land area)","2018","2018","km","0.2","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","012","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","13707.7","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5","E","Estimated value"
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","9.3","A","Official figure"
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","7","A","Official figure"
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","11.7","A","Official figure"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","8.4","A","Official figure"
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","6.3","A","Official figure"
